"id"	"value"	"datatype_id"	"device_id"	"time"
"1"	"28272"	"1"	"1"	"18/5/2020 15:00:45"
"2"	"28252"	"1"	"1"	"18/5/2020 15:01:01"
"3"	"28112"	"1"	"1"	"18/5/2020 15:01:17"
"4"	"28000"	"1"	"1"	"18/5/2020 15:01:33"
"5"	"28062"	"1"	"1"	"18/5/2020 15:01:48"
"6"	"28000"	"1"	"1"	"18/5/2020 15:02:04"
"7"	"28000"	"1"	"1"	"18/5/2020 15:02:20"
"8"	"28000"	"1"	"1"	"18/5/2020 15:02:36"
"9"	"28062"	"1"	"1"	"18/5/2020 15:02:52"
"10"	"28000"	"1"	"1"	"18/5/2020 15:03:08"
"11"	"28000"	"1"	"1"	"18/5/2020 15:03:24"
"12"	"28000"	"1"	"1"	"18/5/2020 15:03:40"
"13"	"28000"	"1"	"1"	"18/5/2020 15:03:55"
"14"	"28000"	"1"	"1"	"18/5/2020 15:04:11"
"15"	"28000"	"1"	"1"	"18/5/2020 15:04:28"
"16"	"28000"	"1"	"1"	"18/5/2020 15:04:43"
"17"	"27000"	"1"	"1"	"19/5/2020 00:55:25"
"18"	"27000"	"1"	"1"	"19/5/2020 00:55:41"
"19"	"27000"	"1"	"1"	"19/5/2020 00:55:56"
"20"	"27062"	"1"	"1"	"19/5/2020 00:56:12"
"21"	"27000"	"1"	"1"	"19/5/2020 00:56:28"
"22"	"27000"	"1"	"1"	"19/5/2020 00:56:44"
"23"	"27000"	"1"	"1"	"19/5/2020 00:57:00"
"24"	"27000"	"1"	"1"	"19/5/2020 00:57:16"
"25"	"27000"	"1"	"1"	"19/5/2020 00:57:32"
"26"	"27000"	"1"	"1"	"19/5/2020 00:57:48"
"27"	"26937"	"1"	"1"	"19/5/2020 00:58:04"
"28"	"26937"	"1"	"1"	"19/5/2020 00:58:20"
"29"	"26937"	"1"	"1"	"19/5/2020 00:58:36"
"30"	"26937"	"1"	"1"	"19/5/2020 00:58:52"
"31"	"26937"	"1"	"1"	"19/5/2020 00:59:08"
"32"	"26937"	"1"	"1"	"19/5/2020 00:59:24"
"33"	"26937"	"1"	"1"	"19/5/2020 00:59:39"
"34"	"26937"	"1"	"1"	"19/5/2020 00:59:56"
"35"	"26937"	"1"	"1"	"19/5/2020 01:00:12"
"36"	"26937"	"1"	"1"	"19/5/2020 01:00:27"
"37"	"26937"	"1"	"1"	"19/5/2020 01:00:43"
"38"	"26937"	"1"	"1"	"19/5/2020 01:00:59"
"39"	"26937"	"1"	"1"	"19/5/2020 01:01:15"
"40"	"26937"	"1"	"1"	"19/5/2020 01:01:31"
"41"	"26937"	"1"	"1"	"19/5/2020 01:01:48"
"42"	"26937"	"1"	"1"	"19/5/2020 01:02:03"
"43"	"26937"	"1"	"1"	"19/5/2020 01:02:19"
"44"	"26937"	"1"	"1"	"19/5/2020 01:02:35"
"45"	"26937"	"1"	"1"	"19/5/2020 01:02:50"
"46"	"26937"	"1"	"1"	"19/5/2020 01:03:06"
"47"	"26937"	"1"	"1"	"19/5/2020 01:03:22"
"48"	"26937"	"1"	"1"	"19/5/2020 01:03:38"
"49"	"26937"	"1"	"1"	"19/5/2020 01:03:54"
"50"	"26937"	"1"	"1"	"19/5/2020 01:04:10"
"51"	"26937"	"1"	"1"	"19/5/2020 01:04:26"
"52"	"26937"	"1"	"1"	"19/5/2020 01:04:42"
"53"	"26937"	"1"	"1"	"19/5/2020 01:04:58"
"54"	"26937"	"1"	"1"	"19/5/2020 01:05:14"
"55"	"26937"	"1"	"1"	"19/5/2020 01:05:29"
"56"	"26937"	"1"	"1"	"19/5/2020 01:05:45"
"57"	"26937"	"1"	"1"	"19/5/2020 01:06:02"
"58"	"26937"	"1"	"1"	"19/5/2020 01:06:18"
"59"	"27000"	"1"	"1"	"19/5/2020 01:06:34"
"60"	"27000"	"1"	"1"	"19/5/2020 01:06:50"
"61"	"27000"	"1"	"1"	"19/5/2020 01:07:05"
"62"	"27000"	"1"	"1"	"19/5/2020 01:07:22"
"63"	"27000"	"1"	"1"	"19/5/2020 01:07:37"
"64"	"27000"	"1"	"1"	"19/5/2020 01:07:53"
"65"	"27000"	"1"	"1"	"19/5/2020 01:08:09"
"66"	"27000"	"1"	"1"	"19/5/2020 01:08:25"
"67"	"27000"	"1"	"1"	"19/5/2020 01:08:41"
"68"	"27000"	"1"	"1"	"19/5/2020 01:08:57"
"69"	"27000"	"1"	"1"	"19/5/2020 01:09:13"
"70"	"27000"	"1"	"1"	"19/5/2020 01:09:29"
"71"	"27000"	"1"	"1"	"19/5/2020 01:09:44"
